origin_lga,dest_lga,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon,n_trips,n_devices,avg_distance_km,pct_weekday,pct_weekday_am_peak,pct_weekday_pm_peak,pct_weekend,pct_weekend_am_peak,pct_weekend_pm_peak
Ballarat,Melton,Ballarat Central,Ballarat,-37.561288039129316,143.84125606621114,Melton (Vic.),Melbourne,-37.72214220491137,144.66696598468297,40291,5861,74.8706082346536,69.90394877267876,14.859397880419944,3.2786478369859275,30.096051227321237,6.192449926782656,0.7619567645379861
Melton,Ballarat,Melton South,Melbourne,-37.72214220491137,144.66696598468297,Ballarat Central,Ballarat,-37.561288039129316,143.84125606621114,40158,5781,74.87060823465359,70.10558294735793,15.180038846556105,3.227252353204841,29.894417052642062,6.103391603167489,0.7993425967428657
Latrobe (Vic.),Melbourne,Traralgon,Gippsland,-38.214106711553,146.4199477751795,North Melbourne,Melbourne,-37.81112228169855,144.95439503242488,25405,11360,135.98654104440777,71.29698878173588,15.508758118480614,2.3184412517221022,28.703011218264123,5.376894312143278,0.7124581775241094
Melbourne,Latrobe (Vic.),Docklands,Melbourne,-37.81112228169855,144.95439503242488,Morwell,Gippsland,-38.214106711553,146.4199477751795,24820,10870,135.9865410444078,70.80983078162772,16.52699435938759,2.207896857373086,29.19016921837228,5.765511684125705,0.676873489121676
Greater Bendigo,Hume,Golden Gully,Bendigo Loddon,-36.76027365719228,144.29640191322605,Sunbury,Melbourne,-37.615969590974,144.88136462221786,24286,4106,108.34360966339916,72.62620439759532,16.474512064563946,2.0505641110104587,27.373795602404677,5.274643827719673,0.7988141315984517
Hume,Greater Bendigo,Sunbury,Melbourne,-37.615969590974,144.88136462221786,Kangaroo Flat (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,24126,4004,108.34360966339915,72.36591229379094,16.39724778247534,2.1387714498880874,27.63408770620907,5.4256818370222994,0.8248362762165298
Casey,Greater Geelong,Narre Warren South,Melbourne,-38.06111031151929,145.30117652760546,Lara,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,21187,6216,80.37336121389369,71.47307311086988,15.896540331335252,4.1157313446925,28.526926889130127,6.1641572662481705,0.6796620569216972
Greater Geelong,Casey,Leopold,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Clyde North,Melbourne,-38.06111031151929,145.30117652760546,21043,6107,80.37336121389373,71.82435964453737,15.834244166706268,4.191417573539895,28.175640355462622,5.925961127215701,0.7318348144276007
Ballarat,Melbourne,Sebastopol (Vic.),Ballarat,-37.561288039129316,143.84125606621114,Melbourne,Melbourne,-37.81112228169855,144.95439503242488,21039,11781,101.81468562648564,73.21165454631874,14.972194495936119,3.246352012928371,26.788345453681256,5.399496173772517,1.3403678882076144
Greater Geelong,Monash,Ocean Grove,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Mulgrave (Vic.),Melbourne,-37.895962260439134,145.1358495139286,20826,9070,71.21972930851625,72.53913377508883,14.32344185153174,2.592912705272256,27.460866224911168,5.195428790934409,0.7154518390473447
Monash,Greater Geelong,Mulgrave (Vic.),Melbourne,-37.895962260439134,145.1358495139286,Belmont (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,20733,9019,71.21972930851622,72.01562726088844,14.604736410553224,2.4067911059663336,27.984372739111564,5.435778710268654,0.7476004437370376
Melbourne,Ballarat,Southbank,Melbourne,-37.81112228169855,144.95439503242488,Winter Valley,Ballarat,-37.561288039129316,143.84125606621114,20664,11538,101.81468562648556,73.43205574912892,14.895470383275262,3.068137824235385,26.56794425087108,5.468447541618273,1.292102206736353
Wyndham,Cardinia,Tarneit,Melbourne,-37.89016777149549,144.67403984987567,Pakenham,Yarra Valley and the Dandenong Ranges,-38.06715044710119,145.4689113551805,17605,4844,72.39497760056938,72.35444476001136,16.313547287702356,3.4535643283158195,27.64555523998864,4.9133768815677366,0.9429139449020164
Cardinia,Wyndham,Beaconsfield (Vic.),Yarra Valley and the Dandenong Ranges,-38.06715044710119,145.4689113551805,Werribee,Melbourne,-37.89016777149549,144.67403984987567,17578,4805,72.39497760056936,72.82398452611218,16.577540106951872,3.549891910342474,27.176015473887816,4.846967800659916,0.8021390374331552
Baw Baw,Melbourne,Tanjil Bren,Gippsland,-38.13930722747895,145.95367686001762,Carlton (Vic.),Melbourne,-37.81112228169855,144.95439503242488,17544,8523,94.88668068349186,72.52621979024167,12.841997264021888,2.4338805289557683,27.47378020975832,5.05015959872321,0.815093479252166
Melbourne,Baw Baw,North Melbourne,Melbourne,-37.81112228169855,144.95439503242488,Warragul,Gippsland,-38.13930722747895,145.95367686001762,17236,8338,94.88668068349189,72.74309584590392,13.141100023207242,2.4541656996983057,27.25690415409608,5.215827338129497,0.7600371315850545
