origin_lga,dest_lga,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon,n_trips,n_devices,avg_distance_km,pct_weekday,pct_weekday_am_peak,pct_weekday_pm_peak,pct_weekend,pct_weekend_am_peak,pct_weekend_pm_peak
Melton,Ballarat,Burnside (Vic.),Melbourne,-37.72452997948302,144.6727150449748,Ballarat Central,Ballarat,-37.560758619880346,143.84044028877062,601338,87427,75.50870142732748,71.21618790098081,16.09377754274634,2.756519627896458,28.783812099019183,6.281492272232921,1.0448366808683303
Ballarat,Melton,Ballarat East,Ballarat,-37.560758619880346,143.84044028877062,Mount Cottrell,Melbourne,-37.72452997948302,144.6727150449748,580993,83579,75.50870142732738,70.06401109824043,15.225656763506617,2.8327363668753325,29.935988901759575,6.154118896441093,1.1311668126810477
Greater Bendigo,Campaspe,Eppalock,Bendigo Loddon,-36.76159987473658,144.2964199597455,Torrumbarry,Central Murray,-36.23436338726099,144.80628852374232,510683,88982,74.25705659292008,70.66223077721403,12.393206744692892,1.5585010662191614,29.337769222785955,4.645934953777588,0.5986100966744536
Ballarat,Melbourne,Ballarat Central,Ballarat,-37.560758619880346,143.84044028877062,Melbourne,Melbourne,-37.81361503191175,144.9567973261259,505289,105103,102.17784686874911,71.65087702285227,16.04507519459161,2.874394653356792,28.349122977147733,6.099875516783464,1.0896734344108026
Campaspe,Greater Bendigo,Muskerry,Central Murray,-36.23436338726099,144.80628852374232,Goornong,Bendigo Loddon,-36.76159987473658,144.2964199597455,503522,87385,74.2570565929201,68.51974690281656,11.38679144108897,1.5858294175825485,31.480253097183443,4.649647880330949,0.6220185016742069
Greater Geelong,Hume,Norlane,Geelong and the Bellarine,-38.151801049319516,144.39223976363152,Greenvale (Vic.),Melbourne,-37.61916005016096,144.88102921785145,502059,97376,73.1290031254477,68.74231912982339,14.123439675416636,2.5817682782302476,31.257680870176614,6.620934989712364,0.9887284163813416
Hume,Greater Geelong,Jacana,Melbourne,-37.61916005016096,144.88102921785145,Rippleside,Geelong and the Bellarine,-38.151801049319516,144.39223976363152,497176,95122,73.12900312544761,71.61709334320241,15.328575796096352,2.8171110431718343,28.38290665679759,6.040919111139717,1.08874925579674
Wellington,East Gippsland,Sale,Gippsland,-38.08514705389654,146.99369744746866,Fernbank,Lakes,-37.804803484094386,147.83505312804294,496964,91270,80.09215237240952,71.1711512302702,11.184512359044115,1.6789948567703092,28.8288487697298,4.25060970211122,0.6177509839746943
Melbourne,Ballarat,Melbourne,Melbourne,-37.81361503191175,144.9567973261259,Wendouree,Ballarat,-37.560758619880346,143.84044028877062,484451,102847,102.17784686874911,72.91944902580447,14.955072855665485,2.629574508051382,27.080550974195532,5.8488887421018845,0.9825555112900995
Greater Bendigo,Melbourne,White Hills (Vic.),Bendigo Loddon,-36.76159987473658,144.2964199597455,South Wharf,Melbourne,-37.81361503191175,144.9567973261259,484295,99592,130.75492084940092,71.24356022672131,15.703032242744609,2.800772256579151,28.756439773278686,6.132832261328323,1.0435788104357882
